"fat" "protein" "pH"
-8.27e-05 -6.71e-05 -0.000204507
-9.54e-05 -7.06e-06 4.52e-05
-7.92e-05 -5.67e-05 -0.000107721
2.89e-05 -2.54e-05 4.07e-05
0.000158082 3.58e-05 0.000290265
0.000261589 0.00017703 0.000251188
0.000105485 0.00018444 6.27e-05
2.3e-05 -5.64e-05 1.33e-05
8.74e-05 -0.000113432 -0.000113177
7.89e-06 -9.98e-05 -8.69e-05
6.04e-05 2.91e-06 0.000302485
2.3e-05 0.000288392 -0.00015763
6.31e-05 -0.000238137 0.000450995
-4.68e-05 -1.22e-05 0.000813665
-5.34e-05 2.73e-06 0.000835333
-1.47e-05 -1e-04 0.000150089
-2.67e-05 -0.000108675 0.000127104
-4.28e-05 3.24e-05 9.75e-05
-3.42e-05 -6.04e-05 -0.000348959
0.000239657 7.54e-05 0.000179732
-7.31e-05 2.43e-05 -3.52e-06
-8.21e-05 8.21e-05 -0.000303602
-0.000122664 9.98e-05 -0.00010449
5.51e-05 0.000143333 -7.9e-06
8.42e-05 6.86e-05 3.75e-05
-7.86e-05 -6.17e-05 9.03e-05
-8.28e-05 -6.33e-05 9.13e-05
-8.17e-05 7.07e-05 6.96e-05
0.000107049 -6.11e-05 7.43e-05
-0.000152388 -0.000150885 -1.44e-05
5.89e-05 -0.000125703 -6.58e-05
-4.11e-06 -4.08e-05 1.54e-05
0.000109763 -7.23e-05 -8.53e-05
-4.04e-05 0.000102788 0.000362273
-0.000105201 7.5e-05 -4.63e-05
-7.45e-05 9.37e-05 -3.29e-05
-3.69e-05 -8.11e-05 7.85e-05
-1.39e-06 -0.000101045 8.76e-05
1.21e-06 -0.000314445 -0.000253062
2.97e-05 9.08e-06 0.000421676
-6.58e-05 -9.21e-05 -0.0001676
-0.000101133 -2.42e-05 -0.000298972
-3.82e-05 -8.62e-05 -9.01e-05
9.1e-05 3.36e-06 -0.000270668
7.85e-05 -0.000151658 8.17e-05
7.46e-05 -0.000207599 -1.5e-05
0.000470688 0.00021461 0.000127137
-0.000138572 -3.42e-05 1.43e-05
0.000383395 5.05e-05 0.000228338
7.41e-05 -0.000327606 -0.000132164
-6.17e-05 0.000103876 -0.000176141
-0.00011146 -4.66e-06 -7.63e-05
0.000223274 6.6e-05 -3.09e-05
0.000224992 6.2e-05 -3.58e-05
6.81e-05 4.87e-05 -6.33e-05
3.11e-05 2.21e-05 0.000551244
-7.82e-06 4.86e-06 9.44e-06
0.000195695 4.53e-05 7.99e-05
0.000211871 0.00020297 2.19e-05
0.00019633 0.000162558 2.3e-05
0.000227169 0.000127997 3.03e-05
0.001100198 0.000139167 5.49e-05
5.83e-05 9.02e-05 4.92e-06
0.000235492 0.000152241 2.46e-05
-2.01e-05 0.000168194 3.87e-05
0.00010465 -0.000131245 6.8e-05
2.81e-05 0.000146891 -2.55e-05
-3.43e-06 -0.000266646 0.000123715
-4.8e-06 -0.000120667 -2.62e-05
-4.72e-05 -3.49e-05 -9.86e-05
0.000179759 -1e-05 0.000420757
1.56e-05 -3.4e-05 -6.49e-05
0.000132195 -0.000141285 0.000152108
0.000130655 -0.00017653 0.000101344
-1.1e-05 -0.000132906 -7.04e-05
0.000256862 6.15e-05 4.7e-05
-0.001353897 0.000147331 -8.96e-05
-0.000511496 0.000100579 -0.000159158
0.000100825 -0.000102776 -1.1e-05
0.000141558 3.77e-05 -6.21e-06
-1.35e-05 6.38e-05 -0.00042036
-0.000155824 -3.59e-05 -0.000138221
-1.41e-05 -7.14e-05 1.34e-05
-1.83e-05 6.76e-06 -2.77e-05
-4.87e-05 0.000195262 -0.000232827
3e-05 0.000206941 -0.000504339
0.000146842 -0.000105366 8.24e-05
7.86e-05 4.28e-05 0.000205948
9.88e-05 -3.61e-05 2.41e-06
0.000166124 8.8e-05 6.77e-05
-1.41e-05 0.000229014 -6.48e-05
-0.000119342 6.04e-05 -7.96e-05
-0.000278778 -0.000297627 7.55e-05
0.000252403 3.45e-05 2.48e-05
-4.87e-05 0.000335447 -0.000283984
-1.67e-05 0.000209975 -0.000287199
7.05e-06 -5.51e-05 -7.92e-06
3.62e-05 -0.000178171 -2.04e-05
-2.63e-05 -1.98e-05 7.34e-05
0.000368217 4.85e-05 0.000124666
5.87e-05 6.83e-05 -4.61e-05
-2.91e-05 5.57e-06 -8.36e-05
-0.000100847 -0.000135368 -2.86e-05
-6.09e-05 -5.78e-05 -0.000112885
-9.08e-05 -5.57e-05 -0.000126099
-5.81e-05 -5.91e-05 -0.000114919
-9.16e-05 -5.28e-05 -0.000130794
-0.000119989 0.000164018 4.83e-05
-3.33e-05 -7.89e-05 4.92e-05
0.000216706 4.12e-05 0.000137142
-0.000133136 -2.41e-05 -9.02e-05
-0.000129432 -1.96e-05 -9.26e-05
0.000145026 0.00014303 1.01e-05
0.000128821 2.89e-05 0.000199228
3.07e-05 5.97e-05 0.000136683
-7.31e-05 1.01e-05 -7.32e-05
2.07e-05 -0.000108768 -6.09e-05
-7.98e-05 3.54e-05 -6.22e-06
0.000120194 -7.4e-05 -4.96e-05
-3.64e-05 0.000260927 -0.000130139
2.67e-05 0.000199839 0.000223955
0.00017494 0.000327082 5.8e-06
0.000155384 0.000138491 0.000182883
-6.8e-05 0.000132005 1.11e-05
0.000158889 0.000259964 4.25e-05
6.97e-05 9.64e-05 -8.66e-05
0.000157985 5.27e-05 8.48e-05
7.73e-05 6.79e-05 -0.000282064
8.13e-05 6.71e-05 -0.000294536
-7.79e-05 3.77e-05 1.9e-06
0.000201362 0.00060825 2.79e-05
-6.36e-05 -4.54e-05 9.03e-05
-7.22e-05 -0.000200145 0.000120389
-2.59e-05 -4.39e-05 4.17e-05
-9.04e-05 0.000140435 5.98e-06
-5.77e-05 -5.22e-06 -9.16e-05
0.000315602 0.000254981 0.00019054
-0.000148609 2.05e-05 -2.19e-05
3.45e-05 -3.99e-05 -5.22e-05
-8.44e-06 -5.02e-05 4.51e-05
2.35e-05 6.31e-05 -5.68e-06
4.66e-05 6.69e-05 -3.65e-05
3.39e-05 4.17e-05 -3.97e-05
2.65e-05 3.37e-05 -2.62e-05
2.35e-05 2.54e-05 -1.04e-05
4.66e-05 7.94e-05 8.42e-05
-7.6e-06 -6.69e-06 -6.7e-05
-8.48e-06 1.3e-05 -0.000112521
-2.7e-05 7.2e-05 -4.52e-05
-0.00058109 -0.000130196 2.85e-05
-0.000181121 -2.05e-05 1.99e-05
-0.00019089 -8.91e-05 2.2e-05
1.34e-05 -6.45e-05 0.000110882
-0.000123836 7.22e-05 3.74e-05
-0.000199611 -3.09e-05 9.43e-05
-0.000120932 0.00017586 -2.01e-05
3.13e-05 9.55e-05 0.000414227
-0.000218645 8.59e-05 0.000122266
9.13e-05 5.59e-05 0.000134779
7.18e-05 5.66e-05 0.000158357
-0.000148276 3.75e-05 3.94e-05
-0.000170385 9.75e-06 -6.3e-05
-0.000131017 -1.61e-05 -8.44e-05
-0.000130398 -1.55e-05 -8.54e-05
9.71e-05 0.000170592 -5.6e-05
-0.000158423 4.65e-05 -5.66e-05
3.84e-05 0.000100125 -3.56e-05
0.000122301 0.000372251 0.000114776
0.000125308 6.46e-05 8.57e-06
-1.97e-05 0.000188561 1.75e-05
-4.4e-06 3.84e-05 -0.000120987
-6.41e-05 -0.000114672 -8.33e-05
-2.12e-05 -0.000123166 -4.42e-05
-1.86e-05 -0.00013183 -3.12e-05
3.73e-05 0.000220242 -0.000129211
-6.01e-05 0.000122353 3.27e-05
2.35e-05 -9.08e-05 -7.07e-05
1.2e-05 4.74e-06 -5.57e-05
-1.19e-05 0.000135007 5.13e-05
-8.65e-05 -1.64e-06 -8.68e-06
-4.31e-05 -0.000184895 7.93e-05
3.14e-05 0.000121858 -4.75e-05
9.89e-06 -0.000245761 0.000170474
1.02e-05 -0.000250937 0.00016539
1e-05 -0.000248274 0.000165259
6.81e-05 5.77e-06 5.21e-05
3.85e-05 -1.89e-06 3.16e-05
0.000356883 0.000167433 0.000169291
0.000497018 0.000169549 0.000187192
0.000350835 0.000101686 0.000364506
8.46e-06 1.83e-05 5.83e-05
0.000150772 5.18e-05 0.002719337
-8.8e-06 -2.92e-05 4.8e-05
0.000194116 7.11e-05 -1.42e-05
8.07e-06 -3.34e-05 4.14e-06
5.49e-05 5.77e-05 0.000272743
-0.000107657 -7.33e-05 1.89e-05
-9.82e-05 -3.82e-05 3.61e-06
7.47e-05 0.000497779 -2.57e-05
-8.7e-05 -2.55e-05 -0.000132787
-9.54e-05 -3.36e-05 -5.59e-05
-7.27e-05 3.02e-05 0.000145564
3.14e-05 5.59e-05 0.000111953
8.12e-05 4.61e-05 -6.33e-06
7.37e-05 0.000604917 0.000102352
-6.89e-05 -7.7e-05 -5.22e-05
2.93e-06 -0.000115369 0.000123545
-6.11e-05 -1.84e-05 -3.11e-05
1.89e-05 0.000165962 0.00019616
-6.95e-05 -2.96e-05 -1.38e-05
-3.22e-05 1.31e-06 -3.49e-05
-7.93e-05 -8.43e-05 -1.28e-05
-7.84e-05 -0.000102349 -2.96e-06
-6.92e-05 -0.000113684 -3.02e-05
-0.000236187 -3.88e-05 -9.55e-05
-0.000144171 -8.6e-05 -9.2e-05
-8.1e-05 -8.66e-05 -0.000107291
4.71e-05 0.000179736 -3.74e-05
5.75e-05 7.13e-05 -5.95e-05
6.39e-05 6.15e-05 -5.54e-05
6.47e-05 6.51e-05 -5.62e-05
-4.76e-05 -0.000147087 7.59e-06
6.11e-05 6.6e-05 -6.01e-05
5.95e-05 6.44e-05 -5.78e-05
4.47e-06 3.26e-05 8.04e-05
-2.65e-05 4.1e-05 7.05e-05
-5.62e-05 3.13e-05 -4.33e-05
-4.59e-06 -2.67e-05 -1.52e-05
-2.03e-05 -6.95e-05 1.9e-05
-0.000122424 -8.38e-05 -9.53e-05
-6.28e-05 0.000236983 0.000247251
1.07e-05 0.000231472 0.000544498
1.01e-05 0.000227212 0.000485629
-8.37e-05 -2.08e-05 -0.000337284
-2.02e-05 -5.22e-05 -8.58e-05
-0.000251405 0.000168676 4.57e-05
-9.46e-05 -0.00029225 1.05e-05
-5.97e-05 -8.19e-05 0.000152564
-7.72e-05 -6.46e-05 7.35e-05
-0.000105806 -5.3e-05 6.31e-06
-0.000100629 -3.76e-05 0.000172738
-7.79e-05 -7.29e-05 1.85e-05
-8.47e-05 -0.000130065 6e-05
-8.17e-05 -0.000187494 3.51e-05
9.52e-06 -0.000123865 -4.09e-05
-5.79e-05 -0.000264876 -2.71e-05
2.2e-05 -2.72e-05 -4.83e-05
-2.88e-05 -0.000260749 3.7e-05
-2.82e-05 -6.28e-05 6.75e-05
-1.07e-05 -6.73e-05 0.000133562
-7.88e-05 -0.000168509 6.87e-05
-3.26e-05 -9.25e-05 5.39e-05
-1.31e-05 -0.000146333 1.34e-05
-6.01e-05 -8.08e-05 -4.94e-06
-2.6e-05 -0.000133269 -6.23e-05
-7.07e-05 -0.000167673 1.59e-05
-9.22e-05 0.000151408 1.06e-05
-3.25e-05 -8.51e-06 -0.000192192
7.76e-05 0.000102931 0.000223909
7.82e-05 9.85e-05 0.000247041
1.92e-05 3.1e-05 0.000115099
-2.67e-05 7.9e-05 3.69e-05
-1.88e-05 -3.97e-06 5.88e-06
6.94e-05 0.00183535 7.54e-05
-1.61e-05 -8.21e-05 9.22e-05
-1.79e-05 -1.44e-05 2.06e-05
9.29e-05 0.000134473 5.19e-05
-0.000120422 2.54e-05 0.000174169
-6.79e-05 -0.000211979 -9.24e-06
-3.57e-05 4.04e-05 -6.27e-05
-9.85e-06 -2.44e-05 0.000280357
-8.57e-05 -2.96e-05 5.29e-05
-0.000107182 6.72e-05 -8.26e-05
6.23e-05 6.38e-05 1.36e-05
4.25e-05 0.00010926 7.45e-06
3.65e-05 7.95e-05 -7.02e-05
-0.000107248 -7.85e-05 0.000242051
4.16e-05 1.23e-05 6.93e-05
6.66e-05 -5.44e-05 1.03e-05
-3.16e-05 -9.12e-05 -6.81e-05
-5.03e-05 0.000304444 8.42e-05
-3.8e-05 -3.89e-05 -6.71e-05
5.74e-05 0.000335939 0.0001312
-0.000166553 -0.00010635 -4.02e-05
5.11e-05 -5.48e-05 0.000209744
-3.71e-06 -0.00023523 9.4e-06
8.56e-05 0.000129991 9.9e-06
0.000167747 1.84e-05 5.02e-05
0.000145718 7.24e-05 -4.35e-05
6.63e-05 0.000216266 0.000136427
-0.000106286 -0.000134143 0.000383656
4.5e-05 -7.88e-05 1.56e-05
-2.79e-05 -0.000172065 0.000140108
-9.81e-06 8.64e-05 -0.01623288
4.5e-05 0.000101446 -0.000548951
2.17e-05 -0.000176767 5.21e-05
-2.83e-05 -2.23e-05 7.45e-05
4.31e-05 -0.000168966 1.79e-05
-1.49e-05 8.05e-05 -0.000203266
-2.51e-05 -3.18e-05 8.6e-05
-9.36e-05 -0.000527314 3.65e-06
9.6e-05 4.2e-05 6.48e-05
6.51e-05 -2.88e-05 5.56e-05
-4.51e-05 0.000127256 4.81e-05
4.27e-05 -8.67e-05 -5.64e-05
4.65e-05 -5.95e-05 -2.33e-05
-6e-05 -4.86e-05 4.16e-05
-8.8e-05 4.92e-05 4.6e-05
7.44e-05 6.24e-07 1.88e-05
-2.3e-05 3.76e-06 4.61e-05
0.000131656 -3.33e-05 0.000101838
-8.07e-05 5.55e-05 -2.08e-05
-8.36e-05 -5.17e-06 -1.55e-05
6.92e-06 -3.32e-05 4.35e-05
-0.000126587 -3.18e-05 9.91e-05
-0.000167136 -3.18e-05 9.91e-05
-3.68e-05 5.78e-05 -0.000170162
-3.75e-05 5.22e-05 -0.000169771
0.000152512 -1.08e-05 -4.91e-05
4.3e-05 -0.000232117 0.000249606
-0.000113777 0.000300659 8.58e-05
8.5e-05 -6.41e-05 -7.36e-05
2.41e-05 -0.000246769 7.9e-05
-0.000247634 7.33e-05 0.000127296
-0.000352683 -1.35e-05 -4.46e-05
-9.41e-05 2.41e-05 7.21e-05
3.54e-05 -2.91e-06 2.19e-05
-9.44e-05 0.000124601 0.000255133
1.4e-05 -3.56e-06 -0.00011314
-0.000165277 -5.53e-05 -6.16e-05
8.4e-05 3.16e-05 -0.000227772
3.03e-05 0.000215471 0.000139594
-0.000129377 1.25e-05 -2.69e-05
-0.00013132 1.44e-05 -6.93e-05
-0.000138097 3.1e-05 3.24e-05
-9.5e-05 4.58e-05 6.01e-05
4.2e-05 9.72e-06 -4.6e-05
2.99e-05 5.28e-06 -7.49e-05
-0.000127446 -4.49e-06 2.96e-06
5.26e-05 -4.7e-05 -3.63e-05
-0.000170038 5.35e-06 -2.17e-05
-0.000173062 -3.81e-05 -6.76e-06
-0.000110657 1.26e-05 2.91e-05
-9.69e-05 -4.55e-05 0.000148489
-9.24e-05 -4.38e-05 0.000145955
9.06e-06 0.0001113 0.000211723
4.7e-05 0.000232695 0.00011797
-0.000146228 4.18e-05 -0.000169809
-0.000153813 3.13e-05 -0.000170909
0.000113918 0.000104703 -0.000153151
-0.000170775 -5.45e-05 4.01e-05
-0.000139026 -1.06e-05 0.00028517
6.87e-05 0.000117736 -1.5e-05
7.47e-05 8.1e-05 -8.09e-05
-0.00011013 -5.96e-05 -0.000186474
1.4e-06 6.2e-05 6.15e-05
-6.74e-05 -0.000135891 -5.27e-05
-2.13e-05 0.000785779 3.64e-05
-6.52e-05 5.15e-05 -0.000287365
2.12e-07 6.82e-05 -4.03e-05
-0.000157265 -9.93e-05 -1.6e-05
1.51e-05 7.98e-05 4.2e-05
1.07e-05 7.79e-05 4.24e-05
5.54e-05 4.54e-05 0.000278296
7.39e-05 0.000152944 -7.67e-05
0.000184451 -8.23e-06 0.000108079
-3.49e-05 0.000148759 -0.000139077
0.000225812 3.97e-06 -2.45e-05
-2.27e-05 -1.74e-05 9e-05
-9.8e-05 5.18e-05 -0.000184952
-0.000175418 -0.000108091 -0.00011148
4.59e-05 -1.3e-05 3.83e-05
-2.02e-05 -0.000146406 0.000110769
-6.84e-05 -0.001124145 -5.35e-06
-0.000101547 -0.00095305 -4.52e-06
2.58e-05 -0.000288164 2.23e-05
-1.2e-05 7.01e-06 -0.000146227
-8.51e-05 -2.52e-05 -1.8e-05
-4.24e-05 5.04e-05 0.000173527
-3.01e-05 -5.54e-05 -5.81e-05
7.86e-06 -6.44e-05 -9.03e-05
3.93e-05 -0.000175312 -0.000200698
3.8e-05 -0.000187688 -0.00021302
3.93e-05 -0.000187441 -0.000217876
9.8e-05 3.27e-05 -4.58e-05
-2.07e-05 -5.61e-05 0.000272746
1.7e-05 0.000100522 -0.000132019
-0.000126289 -0.00033968 8.24e-06
3.48e-05 3.24e-05 7.62e-06
-4.78e-05 5.77e-05 -0.000100149
1.94e-05 5.02e-05 -6.2e-05
2.64e-05 4.42e-05 -6.38e-05
-3.04e-06 0.000126819 -6.31e-05
2.9e-07 0.000112144 5.94e-05
1.46e-05 -2.93e-05 -9.8e-05
-0.000104151 8.96e-05 -0.0001031
-5.68e-05 9.38e-05 -6.79e-05
-5.41e-05 0.000100606 -6.55e-05
-5.87e-05 0.000104454 -8.21e-05
4.49e-05 4.27e-05 3.91e-05
4.53e-05 8.66e-05 -0.000176212
6.41e-05 7.55e-05 -8.61e-05
1.07e-05 0.000141397 -2.01e-05
6.54e-05 6.09e-05 -8.2e-05
3.25e-06 -0.000110543 0.000116534
-1.1e-05 5.14e-05 -4.95e-05
-5.32e-05 3.91e-05 -9.22e-05
3.29e-05 0.000130082 -2.93e-05
-3.89e-05 2.7e-05 -7.84e-05
-5.33e-05 -0.000130711 3.13e-05
9.54e-06 5.72e-05 -0.00010237
-0.00010051 -0.000140455 -7.18e-05
-0.000173588 -0.000229036 0.000242307
-6.89e-06 -6.21e-05 -4.16e-05
1.51e-05 0.000123575 5.38e-05
4.99e-05 3.54e-05 -5.3e-05
6.17e-05 0.000352149 9.42e-05
4.75e-05 6.75e-05 -0.000153261
1.4e-05 -0.000387684 1.74e-05
-5.68e-05 7.1e-05 -0.000129269
2.18e-05 -0.000382494 7.96e-05
-8.65e-05 -0.000485541 -8.37e-05
-5.69e-05 -0.000369803 -0.000173995
-3.96e-06 -0.000265293 -8.09e-05
2.38e-05 3.99e-05 2.88e-05
2.59e-05 6.39e-05 -0.000285592
0.000145438 0.000240599 -0.000270262
5.46e-05 -5.23e-05 -4.07e-05
2.85e-05 9.47e-05 4.37e-05
5.16e-05 0.0002098 5.97e-05
4.82e-05 9.71e-05 -6.65e-05
6.78e-05 0.000115403 -3.72e-05
4.68e-05 0.000284877 -7.76e-05
-6.07e-05 -0.000235672 -0.000236808
5.44e-05 5.93e-05 -0.00014517
-2.74e-05 0.000103427 -0.000254065
-1.22e-05 8.13e-05 -0.000236438
-3.37e-05 0.00019795 -0.00041507
-7.1e-05 0.000143533 -0.000124635
-0.000105875 4.47e-05 -2.64e-05
-8.26e-06 -0.000129994 -0.000179428
9.06e-05 4.2e-05 -0.00011682
6.59e-05 -6.22e-05 -0.000551234
0.00010032 2.38e-05 5.64e-05
4.27e-05 -0.000162671 -0.000204809
0.000115517 -1.74e-05 -4.97e-05
-6.01e-06 -8.85e-05 0.000230996
-2.19e-05 -9.7e-05 0.000230243
2.63e-05 -9.41e-05 0.000167359
-5.22e-06 -0.000127526 0.000227983
3.63e-05 -0.000130384 0.000114355
-1.33e-05 0.000120156 -0.000216019
0.000192791 1.85e-05 0.000235464
0.000195476 1.02e-05 0.000182137
0.000166466 -5.33e-05 0.000135303
-9.87e-05 -0.000141823 -1.33e-05
7.44e-05 0.000563133 -1.5e-05
9.88e-05 0.000482823 -3.47e-06
1.43e-05 -9.68e-05 2.67e-05
-0.000126096 0.00018818 -0.000147951
-4.19e-05 7.33e-05 -0.000243427
0.000169496 0.000112489 4.27e-06
0.000174145 0.000200626 7.3e-05
0.000338932 0.000139514 0.000107034
-1.35e-05 -0.000131508 -0.000166688
-2.73e-05 -0.000100856 -0.001205135
-4.28e-05 -4.07e-05 -0.000772017
2e-05 5.09e-05 -1.23e-05
-4.25e-05 -3.51e-05 -0.000123024
-1.95e-05 3.9e-05 -7.6e-06
2.53e-05 8.52e-05 0.00011464
-6.52e-05 -0.000165596 -0.000141617
0.00035104 -5.27e-06 9.87e-05
0.000381156 -5.29e-05 0.000109958
-9.75e-05 -0.000100563 -0.000149127
-1.6e-06 2.49e-05 4.76e-05
-2.09e-05 -5.9e-05 -0.000275763
-0.000133269 -0.000284189 2.27e-05
9.65e-05 -3.85e-05 0.00012665
0.000197151 9.18e-05 -2.16e-05
0.000106533 2.44e-05 -0.000109857
1.17e-05 -2.81e-05 -9.83e-05
-3.19e-05 -8.94e-05 -0.000167562
2.81e-05 8.49e-05 8.84e-05
0.000123558 8.1e-05 -0.000157259
-9.56e-05 -1.27e-05 -0.00027887
3.83e-05 1.26e-05 -0.00026094
8.83e-05 2.17e-05 -0.000901278
2.98e-05 0.000102649 -3.18e-05
3e-05 0.000102505 -3.23e-05
5.3e-05 6.42e-05 -9.12e-05
-2.3e-05 7.63e-05 4.38e-05
4.43e-05 7.08e-05 -4.09e-05
2.11e-05 0.000157528 -0.000421756
7.05e-05 0.001819508 0.000105531
0.00010106 0.000182949 1.44e-05
-0.000198466 1.73e-05 8.59e-06
-0.000158823 -0.000442281 3.07e-05
-3.95e-05 7.56e-05 3.64e-05
-6.37e-05 -0.000487763 5.9e-05
0.000100227 7.47e-05 -0.000303415
5.18e-05 8.34e-05 5.37e-05
-1.51e-05 -0.00016704 -8.79e-05
8.17e-05 1.67e-05 -1.82e-06
8.57e-05 1.78e-05 -3.45e-06
-4.07e-05 -3.54e-05 0.000116814
6.88e-05 -8.66e-06 0.000371485
-2.27e-05 -9.66e-05 0.000717416
0.000202124 5.98e-05 -4.86e-05
-7.04e-05 -0.000104402 -0.000228385
0.000172235 -6.06e-05 6.9e-06
0.000179307 -7.16e-05 -3.87e-05
7.77e-05 0.00054039 0.00021058
-9e-05 4e-05 -1.12e-05
4.61e-05 9.33e-05 -3.86e-05
0.000113613 3.68e-05 7.42e-05
6.89e-06 -0.000160981 -0.000137965
3.28e-05 8.29e-05 -7.42e-05
3.71e-05 2.62e-05 3.93e-06
4.06e-05 -7.25e-06 -0.000219493
-2.28e-05 -0.000839173 0.00014234
5.27e-05 0.000113523 4.05e-06
-7.55e-05 0.000138676 -0.000132796
5.57e-05 0.000830909 -9.78e-05
9.01e-05 6.51e-06 2.22e-06
-1.53e-06 3.22e-05 -3.33e-07
-1.02e-05 0.000699092 -0.000142499
4.94e-05 -0.000270983 3.16e-06
5.35e-05 0.000118881 -0.000269766
-1.5e-05 0.002405662 -9.45e-05
6.51e-05 -0.000185898 -0.000185146
-6.27e-06 -0.000127249 0.000170834
-9.19e-05 -0.000231658 0.000211169
8.71e-05 -0.000167687 2.08e-05
0.000142214 2.78e-05 0.000149287
0.000112323 -8.79e-06 0.000159338
-4.27e-05 7.12e-05 -2.17e-05
